role,file,exists,suffix,size,sha256,expected_memory_output,expected_v1_state,contract_rule,verdict_matrice,parse_ok,main_guard,imports,classes,functions,pure_function_candidates,top_level_effects,write_hits,real_hits,secret_hits,process_hits,legacy_state_hits,v1_hits
APLOMB,.aplomb.py,false,.py,,,aplombcontext dict typé,aplombstatev1.json,calculateur sans write aplombstate.json legacy,ABSENT,true,false,,,,,,,,,,,
APLOMB,aplomb.py,true,.py,2569,b9792c9671b1070a6f4afc11e5a9a3e63caa490de6948b62a65aeddfd1bb8eed,aplombcontext dict typé,aplombstatev1.json,calculateur sans write aplombstate.json legacy,WRAPPER_NEUF_REQUIS_WRITE_LEGACY,true,true,json;pathlib;datetime,,load_mondes_state;load_m2_state;evaluate_aplomb,,'\nAplomb - Décideur souverain de Séragone\nIntègre les signaux des mondes parallèles long ET des mondes BEAR natifs (M2)\n',"L72:with open(STATE_FILE, 'w') as f: || L73:json.dump(state, f, indent=2)",,,,"L11:STATE_FILE = BASE_DIR / ""aplomb_state.json"" || L16:# Exemple : mondes_paralleles_state.json || L17:bull_file = BASE_DIR / ""mondes_paralleles_state.json""",
APLOMB,tireur_aplomb.py,true,.py,11071,8da168d8fc310993b6ada0c448e1f4a325e4e880b831e887be7d33dc7b7769eb,aplombcontext dict typé,aplombstatev1.json,calculateur sans write aplombstate.json legacy,WRAPPER_NEUF_REQUIS_WRITE_LEGACY,true,true,json;logging;pathlib;datetime,,load_json;load_first;infer_aplomb_input;decide_local;canonical_permission;save_policy_state_local;append_signal_log_local;main,infer_aplomb_input;decide_local,"LOGS_DIR.mkdir(parents=True, exist_ok=True) || STATES_DIR.mkdir(parents=True, exist_ok=True) || log.setLevel(logging.INFO) || if_non_main","L13:LOGS_DIR.mkdir(parents=True, exist_ok=True) || L14:STATES_DIR.mkdir(parents=True, exist_ok=True) || L217:with open(POLICY_STATE_FILE, ""w"", encoding=""utf-8"") as f: || L218:json.dump(state, f, indent=2, ensure_ascii=False) || L233:with open(SIGNAL_LOG_FILE, ""a"", encoding=""utf-8"") as f: || L234:f.write(json.dumps(entry, ensure_ascii=False) + ""\n"") || L310:with open(out_file, ""w"", encoding=""utf-8"") as f: || L311:json.dump(state, f, indent=2, ensure_ascii=False) || L313:with open(POLICY_MONITOR_FILE, ""w"", encoding=""utf-8"") as f: || L314:json.dump(",,,,"L28:APL_STATE_FILE = BASE_DIR / ""aplombstate.json"" || L29:APL_DAILY_STATE_FILE = BASE_DIR / ""aplombdailystate.json"" || L30:POLICY_STATE_FILE = STATES_DIR / ""policy_state.json"" || L38:BASE_DIR / ""mondesparallelesstate.json"", || L39:BASE_DIR / ""mondes_paralleles_state.json"", || L46:BASE_DIR / ""m2bearstate.json"",",
APLOMB,productiondecisionaplomb.py,false,.py,,,aplombcontext dict typé,aplombstatev1.json,calculateur sans write aplombstate.json legacy,ABSENT,true,false,,,,,,,,,,,
PRUDENCE_MEASURE,productionprotectionprudencemodule.py,false,.py,,,prudencemeasure dict veto/score en MEASUREONLY,prudencemeasurev1.json,"mesure seulement, ne force pas la décision finale",ABSENT,true,false,,,,,,,,,,,
PRUDENCE_MEASURE,prudence_module.py,true,.py,6177,73523882c73a1099059d46a6a67b4b4a746b973a911bcab1ae1cd39781dc835d,prudencemeasure dict veto/score en MEASUREONLY,prudencemeasurev1.json,"mesure seulement, ne force pas la décision finale",EXCLURE_PROCESS_CRON_SYSTEMD_DIRECT,true,true,json;pandas;numpy;datetime;pathlib,,prudence_parle;compter_convergence;ecrire_etat;log_ligne;main,prudence_parle,"""\nPRUDENCE — la voix qui refuse le consensus grégaire\n====================================================\n\nÊtre de pensée du Village de Séragone.\nFigée le 19 avril 2026 suite","L143:Path(path).parent.mkdir(parents=True, exist_ok=True) || L148:with open(path, 'w') as f: || L149:json.dump(etat, f, indent=2) || L154:Path(path).parent.mkdir(parents=True, exist_ok=True) || L155:with open(path, 'a') as f: || L156:f.write(f""{datetime.now().isoformat()} | {message}\n"")",,,"L160:# POINT D'ENTRÉE CRON (suggéré à 08:11, entre chef 08:10 et communicants 08:12)",L52:STATE_PATH = '/home/ubuntu/seragone/state/prudence_state.json' || L139:# ÉCRITURE D'ÉTAT (lu par le chef via prudence_state.json),
PRUDENCE_MEASURE,demo/prudence/prudence_demo.py,true,.py,4164,34af1b39b85e0e010ddb750acaec7f976f4ab253c653befd7cf7cef9ec106101,prudencemeasure dict veto/score en MEASUREONLY,prudencemeasurev1.json,"mesure seulement, ne force pas la décision finale",EXCLURE_RISQUE_REEL_DIRECT,true,true,json;sys;uuid;datetime;pathlib,,now;read_json;write_json;mode_ok;block_reason;main,,,"L27:Path(path).write_text(json.dumps(data, ensure_ascii=False, indent=2) + ""\n"", encoding=""utf-8"") || L90:d.mkdir(parents=True, exist_ok=True) || L126:f.write(json.dumps(state, ensure_ascii=False) + ""\n"")","L46:def block_reason(order): || L50:if order.get(""mode"") != ""MODE_DEMO_TOTAL"": || L52:if order.get(""real_finance_allowed"") is not False: || L55:if k in order: || L57:if order.get(""prudence_status"") == ""BLOCKED"": || L59:if not order.get(""source""): || L61:if not order.get(""reason""): || L63:if not order.get(""symbol""): || L65:if order.get(""side"") not in ALLOWED_SIDES: || L68:q = float(order.get(""quantity"")) || L72:p = float(order.get(""price_reference"")) || L75:if order.get(""side"") == ""HOLD"": || L86:print(""usage: demo/prudence/prudence_demo.py demo/orders/order.json"", file=sys.stderr) || L93:order = read_json(in_path) || L94:order_id = order.get(""order_id"") or (""NO_ORDER_ID_"" + uuid.uuid4().hex[:8]) || L95:reason = block_reason(order) || L97:checked = dict(order)","L18:FORBIDDEN_KEYS = {""api_key"", ""secret"", ""passphrase"", ""credential"", ""credentials"", ""exchange_target"", ""broker_real"", ""real_broker""}",,"L15:PRUDENCE_STATE = STATES / ""prudence_demo_state.json""",
DOUBLE_TEMPO,productionallocationdoubletempo.py,false,.py,,,tempobudgets dict consultatif,pas de state dédié sans amendement,"budgets consultatifs, ne décide jamais la direction",ABSENT,true,false,,,,,,,,,,,
DOUBLE_TEMPO,doubletempo.py,true,.py,4185,6fc5ec3fbab73eba17630069481262b8bf7cfaec62bd101154509899cd34fac7,tempobudgets dict consultatif,pas de state dédié sans amendement,"budgets consultatifs, ne décide jamais la direction",WRAPPER_NEUF_REQUIS_WRITE_LEGACY,true,false,__future__;json;datetime;pathlib;typing,,_now_iso;_load_state;_save_state;get_tempo_budgets,get_tempo_budgets,,"L52:STATE_FILE.parent.mkdir(parents=True, exist_ok=True) || L54:with open(STATE_FILE, ""w"", encoding=""utf-8"") as f: || L55:json.dump(state, f, indent=2, ensure_ascii=False)",,,,"L9:STATE_FILE = BASE_DIR / ""states"" / ""doubletempostate.json""",
POLICY_ENGINE,productiondecisionpolicyengine.py,false,.py,,,policydecision dict action/sizing/raison,policystatev1.json,"souveraineté décisionnelle bornée, sans write legacy",ABSENT,true,false,,,,,,,,,,,
